,zpid,Outcome,Asking Price,My Prediction,Decision,Won?,Cost Paid,True Value,Profit,Auction Bids,Winner
0,1002990,Skip,,318846.86362519633,Skip: below threshold,—,,,,,
1,1009675,Auction Lost,372331.53971955605,460187.62636087,Bid,No,,,,"Merry: $519,760, You: $391,159, Frodo: $385,390, Gimli: $381,467",Merry
2,1009103,Auction Lost,537626.5953706289,593633.1005476686,Bid,No,,,,"Legolas: $779,237, Merry: $600,047, Gimli: $562,102, Frodo: $542,554, Aragorn: $506,977, Pippin: $506,977, You: $504,588",Legolas
3,1007823,Skip,,375997.4011790208,Skip: below threshold,—,,,,,
4,1013384,Skip,,651380.6739789994,Skip: below threshold,—,,,,,
5,1009005,Auction Lost,147284.13437964523,242526.7752898697,Bid,No,,,,"Legolas: $570,535, Frodo: $211,833, You: $206,148, Gimli: $190,884, Aragorn: $142,950, Pippin: $142,950, Merry: $140,456",Legolas
6,1013552,Skip,,578253.153277335,Skip: below threshold,—,,,,,
7,1008838,Auction Lost,31005.098207452258,423262.3939068872,Bid,No,,,,"Legolas: $736,729, Aragorn: $513,076, Pippin: $513,076, Frodo: $421,027, Gimli: $401,120, You: $359,773, Merry: $299,274",Legolas
8,1004464,Skip,,440808.8465137002,Skip: below threshold,—,,,,,
9,1010132,Auction Lost,51799.73740710564,111699.3786073139,Bid,No,,,,"Legolas: $754,919, Merry: $489,965, Aragorn: $102,189, Pippin: $102,189, You: $94,944, Gimli: $88,316, Frodo: $79,934",Legolas
10,1001764,Auction Lost,208136.0136376119,331181.4106731128,Bid,No,,,,"Merry: $1,629,720, Legolas: $891,082, Aragorn: $435,226, Pippin: $435,226, Frodo: $302,166, Gimli: $292,510, You: $281,504",Merry
11,1006242,Skip,,179141.77433980184,Skip: below threshold,—,,,,,
12,1005388,Skip,,410440.8787683554,Skip: below threshold,—,,,,,
13,1003779,Skip,,472910.1395788235,Skip: below threshold,—,,,,,
14,1016837,Profit,581627.0485152192,692931.4264775733,Bid,Yes,593259.5894855236,712358.700123406,119099.11063788238,"You: $588,992, Frodo: $565,125, Aragorn: $561,614, Pippin: $561,614, Gimli: $535,341",You
15,1005800,Auction Lost,137810.93934726616,206227.56505431444,Bid,No,,,,"Legolas: $1,636,328, Merry: $1,353,270, Frodo: $225,339, Gimli: $206,593, Aragorn: $186,061, Pippin: $186,061, You: $175,293",Legolas
16,1008507,Skip,,396176.6396643427,Skip: below threshold,—,,,,,
17,1004163,Skip,,559698.0394854404,Skip: below threshold,—,,,,,
18,1014405,Skip,,623320.0941856157,Skip: below threshold,—,,,,,
19,1004513,Skip,,366862.9185416561,Skip: below threshold,—,,,,,
20,1014960,Skip,,577754.864586683,Skip: below threshold,—,,,,,
21,1002893,Skip,,834235.4130093089,Skip: below threshold,—,,,,,
22,1009198,Skip,,775182.1913643697,Skip: below threshold,—,,,,,
23,1008117,Skip,,529455.6535146694,Skip: below threshold,—,,,,,
24,1002512,Auction Lost,151560.49520632482,435306.0648416358,Bid,No,,,,"Aragorn: $415,429, Pippin: $415,429, You: $370,010, Gimli: $362,204, Frodo: $355,872",Aragorn
25,1014421,Skip,,1121883.9656772113,Skip: below threshold,—,,,,,
26,1006771,Auction Lost,322341.8420070975,386903.8521496219,Bid,No,,,,"Merry: $1,237,031, Aragorn: $374,565, Pippin: $374,565, Gimli: $360,197, Frodo: $345,477, You: $328,868",Merry
27,1016576,Skip,,369516.06309283694,Skip: below threshold,—,,,,,
28,1002260,Skip,,123972.41790478642,Skip: below threshold,—,,,,,
29,1011343,Skip,,544329.5315793032,Skip: below threshold,—,,,,,
