,zpid,Outcome,Asking Price,My Prediction,Decision,Won?,Cost Paid,True Value,Profit,Auction Bids,Winner
0,1003701,Skip,,245331.02046643724,Skip: below threshold,—,,,,,
1,1009774,Skip,,938759.2941997802,Skip: below threshold,—,,,,,
2,1004462,Skip,,331395.9542774911,Skip: below threshold,—,,,,,
3,1010164,Auction Lost,296507.4265095783,456162.0346825493,Bid,No,,,,"Legolas: $412,143, You: $387,738, Pippin: $385,893, Frodo: $384,299, Aragorn: $367,312, Gimli: $362,901, Merry: $345,759",Legolas
4,1014868,Auction Lost,116731.42291105416,402182.3031461832,Bid,No,,,,"Merry: $470,479, Pippin: $407,437, Aragorn: $406,066, Gimli: $394,037, Legolas: $378,020, Frodo: $360,854, You: $341,855",Merry
5,1016683,Auction Lost,57737.2964442194,202840.635597824,Bid,No,,,,"Pippin: $224,495, Aragorn: $217,217, Merry: $207,484, Frodo: $205,085, Legolas: $202,984, Gimli: $186,009, You: $172,415",Pippin
6,1005294,Auction Lost,278878.50580486946,481056.9485691984,Bid,No,,,,"Merry: $483,351, Pippin: $458,482, Frodo: $452,692, Gimli: $442,448, Aragorn: $441,745, Legolas: $441,706, You: $408,898",Merry
7,1000209,Profit,280731.52805118624,382218.7838100793,Bid,Yes,331290.74436386896,337085.4061575926,5794.661793723644,"You: $324,886, Merry: $324,795, Aragorn: $317,864, Legolas: $314,951, Pippin: $314,688, Frodo: $304,612, Gimli: $260,528",You
8,1003786,Skip,,857805.5829218471,Skip: below threshold,—,,,,,
9,1000171,Skip,,236649.789785512,Skip: below threshold,—,,,,,
10,1013787,Skip,,797144.6707111497,Skip: below threshold,—,,,,,
11,1015427,Profit,118543.1660333415,301256.2844334637,Bid,Yes,242859.5130532812,249640.48603281967,6780.972979538463,"You: $256,068, Legolas: $238,098, Gimli: $210,326, Aragorn: $209,993, Frodo: $205,766, Merry: $202,814, Pippin: $193,202",You
12,1015120,Skip,,592220.9752264086,Skip: below threshold,—,,,,,
13,1000145,Auction Lost,95978.24189194241,126362.12710115113,Bid,No,,,,"Merry: $118,219, Pippin: $117,923, Aragorn: $117,312, Frodo: $112,393, Legolas: $110,505, You: $107,408, Gimli: $102,759",Merry
14,1007944,Skip,,533942.9105044928,Skip: below threshold,—,,,,,
15,1015044,Skip,,758931.435546625,Skip: below threshold,—,,,,,
16,1000587,Auction Lost,849690.1390463025,1095442.7361313323,Bid,No,,,,"Legolas: $1,056,307, Pippin: $960,046, Frodo: $958,881, Gimli: $935,862, Aragorn: $933,311, You: $931,126",Legolas
17,1000419,Auction Lost,493294.3303950577,544711.2116024394,Bid,No,,,,"Aragorn: $549,758, Merry: $547,534, Pippin: $536,056, Legolas: $521,573, Frodo: $510,791, Gimli: $468,337, You: $463,005",Aragorn
18,1011695,Auction Lost,206105.99020934862,299494.8034821015,Bid,No,,,,"Legolas: $297,115, Merry: $282,099, Aragorn: $275,182, Frodo: $274,891, Pippin: $268,624, Gimli: $268,558, You: $254,571",Legolas
19,1013175,Auction Lost,101790.93539724275,188848.03299576323,Bid,No,,,,"Merry: $170,319, Legolas: $164,524, Gimli: $161,022, You: $160,521, Pippin: $154,319, Aragorn: $154,073, Frodo: $148,124",Merry
20,1006056,Skip,,554564.5141435992,Skip: below threshold,—,,,,,
21,1008626,Auction Lost,547870.2288117378,888641.9796178293,Bid,No,,,,"Gimli: $819,808, Frodo: $771,287, You: $755,346, Legolas: $754,216, Aragorn: $734,800, Pippin: $679,012",Gimli
22,1013987,Skip,,1004990.8174905072,Skip: below threshold,—,,,,,
23,1002463,Auction Lost,355839.1317914472,600980.6916399787,Bid,No,,,,"Aragorn: $544,477, Legolas: $526,058, Pippin: $520,964, Merry: $519,762, Frodo: $511,555, You: $510,834, Gimli: $509,267",Aragorn
24,1004882,Loss,140578.31412883982,256439.0579804784,Bid,Yes,214340.2190278573,152972.81062841194,-61367.408399445354,"You: $217,973, Pippin: $210,137, Legolas: $209,991, Merry: $207,743, Frodo: $200,089, Aragorn: $195,223, Gimli: $183,589",You
25,1010474,Profit,247781.293462215,323586.88827693387,Bid,Yes,252736.9193314593,439595.8775448038,186858.95821334448,"You: $275,049, Legolas: $246,180, Pippin: $241,562, Aragorn: $239,821, Frodo: $237,568, Merry: $231,204",You
26,1013125,Skip,,1161040.1462986823,Skip: below threshold,—,,,,,
27,1012467,Auction Lost,494362.06154683593,588786.9398461485,Bid,No,,,,"Aragorn: $614,513, Frodo: $604,185, Merry: $597,851, Legolas: $592,854, Pippin: $579,834, Gimli: $545,664, You: $500,469",Aragorn
28,1006878,Auction Lost,495190.3253280031,785579.8095361276,Bid,No,,,,"Pippin: $831,039, Merry: $777,201, Frodo: $772,157, Legolas: $766,864, Aragorn: $733,989, Gimli: $681,118, You: $667,743",Pippin
29,1003978,Skip,,435360.7912576995,Skip: below threshold,—,,,,,
30,1011198,Auction Lost,420350.01513782574,698737.4187665419,Bid,No,,,,"Aragorn: $631,672, Legolas: $608,797, Pippin: $607,946, Frodo: $603,283, Gimli: $601,391, You: $593,927, Merry: $589,671",Aragorn
31,1013503,Auction Lost,310740.45084817125,456653.797068025,Bid,No,,,,"Frodo: $391,933, You: $388,156, Merry: $387,280, Aragorn: $385,900, Legolas: $384,733, Pippin: $382,334, Gimli: $344,318",Frodo
32,1014954,Auction Lost,135968.85300866334,184686.4014959866,Bid,No,,,,"Merry: $177,618, Pippin: $165,618, Aragorn: $162,167, Frodo: $161,419, You: $156,983, Gimli: $153,169, Legolas: $142,348",Merry
33,1013079,Skip,,533477.9663998804,Skip: below threshold,—,,,,,
34,1011989,Auction Lost,291931.22749296913,358043.57462472306,Bid,No,,,,"Legolas: $312,818, You: $304,337, Merry: $285,771, Gimli: $283,856, Pippin: $281,794",Legolas
35,1009648,Skip,,442660.20945388713,Skip: below threshold,—,,,,,
36,1003017,Auction Lost,120438.62080827628,485033.79714649,Bid,No,,,,"Pippin: $511,630, Aragorn: $479,224, Frodo: $471,454, Legolas: $466,407, Merry: $442,880, Gimli: $427,946, You: $412,279",Pippin
37,1014736,Auction Lost,185581.3507532371,993766.066985314,Bid,No,,,,"Frodo: $1,007,573, Merry: $980,703, Legolas: $952,466, Aragorn: $942,527, Pippin: $932,312, Gimli: $923,975, You: $844,701",Frodo
38,1006119,Skip,,302862.1984585598,Skip: below threshold,—,,,,,
39,1001140,Skip,,581934.8664573773,Skip: below threshold,—,,,,,
40,1012044,Skip,,263242.6779580621,Skip: below threshold,—,,,,,
41,1003705,Skip,,810165.996717554,Skip: below threshold,—,,,,,
42,1001203,Skip,,317573.747012532,Skip: below threshold,—,,,,,
43,1007170,Profit,915495.6527082692,1106572.252535765,Bid,Yes,933805.5657624346,950033.574278153,16228.008515718393,"You: $940,586, Gimli: $907,908",You
44,1011138,Skip,,468824.3386067477,Skip: below threshold,—,,,,,
45,1001761,Skip,,354769.1945126816,Skip: below threshold,—,,,,,
46,1004937,Auction Lost,501883.20853291993,978118.8407655002,Bid,No,,,,"Legolas: $873,339, You: $831,401, Gimli: $793,996, Frodo: $772,105, Pippin: $767,623",Legolas
47,1011300,Auction Lost,645327.6443292487,705274.773463125,Bid,No,,,,"Gimli: $688,934, Frodo: $687,425, Pippin: $669,274, You: $599,484",Gimli
48,1013006,Auction Lost,228042.5349401895,384308.7117719886,Bid,No,,,,"Legolas: $338,970, Merry: $332,336, Aragorn: $329,465, You: $326,662, Pippin: $317,154, Gimli: $316,775, Frodo: $307,145",Legolas
49,1001296,Skip,,643262.9764860776,Skip: below threshold,—,,,,,
50,1001012,Loss,520309.4626356659,818227.4008869636,Bid,Yes,702397.508182939,465696.5909304821,-236700.91725245694,"You: $695,493, Frodo: $688,625, Gimli: $674,726, Pippin: $658,303",You
51,1007017,Skip,,701373.2848217594,Skip: below threshold,—,,,,,
52,1003495,Skip,,599585.5793675185,Skip: below threshold,—,,,,,
53,1001489,Skip,,412677.6316466653,Skip: below threshold,—,,,,,
54,1012352,Skip,,351700.4388021943,Skip: below threshold,—,,,,,
55,1000518,Auction Lost,343455.3617315596,410708.2336285077,Bid,No,,,,"Legolas: $366,461, You: $349,102, Frodo: $339,931, Merry: $332,442",Legolas
56,1003009,Skip,,1037747.7422613584,Skip: below threshold,—,,,,,
57,1003356,Auction Lost,344631.5129219554,442204.3102681938,Bid,No,,,,"Pippin: $393,084, Frodo: $388,203, Merry: $387,343, Legolas: $386,689, Gimli: $385,886, You: $375,874",Pippin
58,1006841,Skip,,351203.7548640348,Skip: below threshold,—,,,,,
59,1004190,Skip,,407467.5587969692,Skip: below threshold,—,,,,,
60,1006962,Auction Lost,339094.49954545853,402939.2535423169,Bid,No,,,,"Legolas: $350,582, You: $342,498, Frodo: $327,234, Merry: $325,714, Pippin: $320,867",Legolas
61,1014298,Auction Lost,159354.99521012657,343229.77315574995,Bid,No,,,,"Legolas: $309,886, You: $291,745, Merry: $286,052, Aragorn: $282,207, Pippin: $271,580, Frodo: $262,227, Gimli: $258,159",Legolas
62,1008972,Auction Lost,301176.5719530513,399118.52044274233,Bid,No,,,,"Pippin: $406,590, Aragorn: $373,537, Frodo: $357,893, You: $339,251, Gimli: $331,369, Merry: $330,470",Pippin
63,1003092,Auction Lost,105259.6764828287,286390.9144936261,Bid,No,,,,"Frodo: $312,091, Legolas: $302,645, Merry: $274,944, Aragorn: $258,970, Pippin: $254,985, Gimli: $254,623, You: $243,432",Frodo
