,zpid,Outcome,Asking Price,My Prediction,Decision,Won?,Cost Paid,True Value,Profit,Auction Bids,Winner
0,1000432,Loss,586541.447178019,831154.2736182555,Bid,Yes,715438.5292534797,666990.9828265894,-48447.5464268903,"You: $706,481, Legolas: $701,410, Frodo: $660,137, Pippin: $657,938, Merry: $639,836, Gimli: $624,716, Aragorn: $603,591",You
1,1012523,Skip,,467055.23134549154,Skip: below threshold,—,,,,,
2,1004724,Skip,,1050642.9271211775,Skip: below threshold,—,,,,,
3,1000270,Auction Lost,297522.1436805648,628427.7613941407,Bid,No,,,,"Legolas: $575,148, You: $534,164, Pippin: $528,180, Merry: $515,543, Frodo: $500,401, Gimli: $498,608, Aragorn: $467,369",Legolas
4,1008164,Skip,,363560.9043877552,Skip: below threshold,—,,,,,
5,1008829,Skip,,340406.28801538324,Skip: below threshold,—,,,,,
6,1007556,Skip,,524721.7384856469,Skip: below threshold,—,,,,,
7,1017562,Auction Lost,319050.2632042134,372539.7962057952,Bid,No,,,,"Pippin: $344,246, Legolas: $344,110, You: $316,659, Frodo: $311,887, Aragorn: $307,250, Gimli: $306,827, Merry: $304,806",Pippin
8,1014694,Auction Lost,727403.2818572652,998772.1232634524,Bid,No,,,,"Frodo: $936,379, Legolas: $899,755, Merry: $888,602, You: $848,956, Pippin: $836,511, Aragorn: $781,089, Gimli: $764,310",Frodo
9,1014950,Auction Lost,256008.7539547695,358719.3160336823,Bid,No,,,,"Merry: $393,003, Legolas: $323,872, You: $304,911, Gimli: $302,649, Frodo: $290,447, Pippin: $284,883, Aragorn: $270,314",Merry
10,1008880,Skip,,520925.11174047313,Skip: below threshold,—,,,,,
11,1004089,Skip,,230537.87642641924,Skip: below threshold,—,,,,,
12,1001113,Skip,,919709.4926322458,Skip: below threshold,—,,,,,
13,1012820,Auction Lost,527975.504821888,574681.4845664243,Bid,No,,,,"Frodo: $556,553, Pippin: $554,163, Merry: $519,305, Gimli: $501,131, Legolas: $493,519, You: $488,479",Frodo
14,1002924,Skip,,623979.5302887167,Skip: below threshold,—,,,,,
15,1007313,Skip,,674572.9719146861,Skip: below threshold,—,,,,,
